center     color diametemass
peanut buttblue     16.22.18
peanut buttbrown    16.52.01
peanut buttorange  15.481.78
peanut buttbrown   16.321.98
peanut buttyellow  15.591.62
peanut buttbrown   17.432.59
peanut buttyellow  15.45 1.9
peanut buttgreen    17.32.55
peanut buttyellow  16.372.07
peanut buttblue    16.672.26
peanut buttorange  15.581.66
peanut buttbrown   15.811.84
peanut buttred     15.241.58
peanut buttyellow   16.22.06
peanut buttbrown   14.731.37
peanut buttyellow  15.551.76
peanut buttbrown   15.311.57
peanut buttorange  15.272.01
peanut buttblue    16.292.21
peanut buttorange  16.021.79
peanut buttgreen   15.22 1.6
peanut buttblue    15.892.02
peanut buttbrown   15.62 1.7
peanut buttgreen   16.872.47
peanut buttyellow  15.741.64
peanut buttblue    15.791.86
peanut buttblue    15.911.78
peanut buttyellow  15.741.73
peanut buttorange  15.831.75
peanut buttgreen   15.991.84
peanut buttbrown    15.21.73
peanut buttblue    15.361.61
peanut buttred     14.761.52
peanut buttgreen   15.481.78
peanut buttyellow  15.321.62
peanut buttgreen   17.312.53
peanut buttyellow   15.51.71
peanut buttgreen   15.131.55
peanut buttyellow  15.18 1.7
peanut buttbrown   15.311.65
peanut buttgreen   16.452.08
peanut buttyellow  15.311.61
peanut buttyellow  15.861.93
peanut buttblue    16.652.26
peanut buttyellow  16.041.87
peanut buttblue    16.221.97
peanut buttgreen      161.97
peanut buttbrown   13.982.32
peanut buttyellow  15.661.58
peanut buttgreen   15.131.36
peanut buttorange  15.14 1.4
peanut buttgreen   16.242.05
peanut buttgreen   16.76 2.1
peanut buttbrown    15.6 1.7
peanut buttblue    16.031.93
peanut buttblue    15.431.55
peanut buttyellow  16.191.97
peanut buttorange  15.141.48
peanut buttgreen   16.211.94
peanut buttorange   15.4 1.6
peanut buttbrown    15.9 1.9
peanut buttblue    16.46 2.2
peanut buttorange  15.461.62
peanut buttbrown   16.041.95
peanut buttred     16.451.92
peanut buttyellow  15.231.48
peanut buttyellow  14.771.48
peanut buttbrown   15.861.84
peanut buttblue     15.21.49
peanut buttgreen   16.832.32
peanut buttorange  16.912.25
peanut buttorange  16.091.91
peanut buttred     15.751.84
peanut buttbrown   15.841.87
peanut buttyellow  15.021.39
peanut buttred     16.231.69
peanut buttgreen   15.721.81
peanut buttyellow  16.432.16
peanut buttyellow  15.291.69
peanut buttred     15.651.78
peanut buttblue    15.571.62
peanut buttyellow  15.011.56
peanut buttred     15.051.53
peanut buttgreen   16.652.18
peanut buttred      17.52.53
peanut buttyellow  16.081.75
peanut buttyellow  15.221.68
peanut buttorange  15.871.79
peanut buttyellow  16.191.87
peanut buttbrown   16.362.04
peanut buttblue    15.621.74
peanut buttyellow  15.481.69
peanut buttyellow  16.061.81
peanut buttblue    15.881.73
peanut buttred     15.671.53
peanut buttorange  15.661.69
peanut buttgreen    15.11.77
peanut buttyellow   15.41.65
peanut buttbrown   15.631.79
peanut buttyellow  15.441.67
peanut buttblue    16.192.09
peanut buttbrown    15.21.48
peanut buttbrown   16.942.46
peanut buttorange  15.991.91
peanut buttbrown   15.851.82
peanut buttyellow     161.88
peanut buttbrown   15.121.62
peanut buttgreen    16.31.93
peanut buttyellow  15.671.76
peanut buttred     15.291.47
peanut buttorange  16.071.91
peanut buttblue    16.422.04
peanut buttyellow  14.89 1.4
