site,date,depth,temp_c,spcond,do_mg_l,secchi_m
Toolik,24-Jul-90,0,15.65,48.00,9.2,6
Toolik,24-Jul-90,0.1,15.65,48.00,9.16,6
Toolik,24-Jul-90,0.2,15.65,48.00,9.12,6
Toolik,24-Jul-90,0.5,15.65,48.00,9,6
Toolik,24-Jul-90,1,15.65,48.00,8.8,6
Toolik,24-Jul-90,2,15.1,48.00,8.8,6
Toolik,24-Jul-90,3,14.65,45.00,9,6
Toolik,24-Jul-90,4,14.35,45.00,8.6,6
Toolik,24-Jul-90,5,14.05,42.00,8.8,6
Toolik,24-Jul-90,6,13.25,42.00,9.1,6
Toolik,24-Jul-90,7,11,40.00,10,6
Toolik,24-Jul-90,8,7.85,37.00,10.2,6
Toolik,24-Jul-90,9,7.4,38.00,10,6
Toolik,24-Jul-90,10,6.6,38.00,9.8,6
Toolik,24-Jul-90,11,6.5,35.00,9.6,6
Toolik,24-Jul-90,12,6.75,38.00,9,6
Toolik,24-Jul-90,13,6.75,38.00,9.2,6
Toolik,24-Jul-90,14,6.65,38.00,9.2,6
Toolik,24-Jul-90,15,6.5,38.00,9,6
Toolik,24-Jul-90,16,6.5,38.00,9,6
